TF,target,target_symbol,target_gene_id,importance,trees_fitted_for_target,rank_within_TF,percentile_within_TF
NFE2,MRPL11,MRPL11,ENSG00000174547,13.621084213256836,33,2.0,0.00027434842249657066
BCL11A,UFL1,UFL1,ENSG00000014123,13.61276912689209,29,49.0,0.006721536351165981
BCL11A,H2AFV,H2AFV,ENSG00000105968,13.596924781799316,28,50.0,0.006858710562414266
BCL11A,LSM6,LSM6,ENSG00000164167,13.584853172302246,29,51.0,0.0069958847736625515
BCL11A,PHF10,PHF10,ENSG00000130024,13.576714515686035,32,52.0,0.007133058984910837
BCL11A,XPOT,XPOT,ENSG00000184575,13.551786422729492,27,53.0,0.007270233196159122
BCL11A,SPAG5,SPAG5,ENSG00000076382,13.544655799865723,31,54.0,0.007407407407407408
BCL11A,CHCHD3,CHCHD3,ENSG00000106554,13.541080474853516,32,55.0,0.0075445816186556925
BCL11A,SPPL2A,SPPL2A,ENSG00000138600,13.540282249450684,29,56.0,0.007681755829903978
KLF1,POLD1,POLD1,ENSG00000062822,13.511679649353027,26,5.0,0.0006858710562414266
BCL11A,UROS,UROS,ENSG00000188690,13.47607707977295,28,57.0,0.007818930041152264
BCL11A,WASL,WASL,ENSG00000106299,13.459583282470703,27,58.0,0.007956104252400549
BCL11A,MAP3K5,MAP3K5,ENSG00000197442,13.446342468261719,27,59.0,0.008093278463648833
BCL11A,RNGTT,RNGTT,ENSG00000111880,13.426907539367676,25,60.0,0.00823045267489712
BCL11A,BUB1,BUB1,ENSG00000169679,13.419191360473633,27,61.0,0.008367626886145405
TAL1,SLC16A4,SLC16A4,ENSG00000168679,13.40275764465332,28,19.0,0.002606310013717421
BCL11A,PSIP1,PSIP1,ENSG00000164985,13.382927894592285,28,62.0,0.00850480109739369
BCL11A,SRSF3,SRSF3,ENSG00000112081,13.37414264678955,27,63.0,0.008641975308641974
BCL11A,ATG14,ATG14,ENSG00000126775,13.350581169128418,27,64.0,0.008779149519890261
BCL11A,UBL7-AS1,UBL7-AS1,ENSG00000247240,13.335867881774902,25,65.0,0.008916323731138546
NFE2,TANC1,TANC1,ENSG00000115183,13.330473899841309,25,3.0,0.00041152263374485596
BCL11A,PCNP,PCNP,ENSG00000081154,13.287919998168945,25,66.0,0.00905349794238683
BCL11A,ZFAND3,ZFAND3,ENSG00000156639,13.257752418518066,26,67.0,0.009190672153635117
BCL11A,HMGB1,HMGB1,ENSG00000189403,13.24482536315918,25,68.0,0.009327846364883402
BCL11A,PGRMC2,PGRMC2,ENSG00000164040,13.219300270080566,27,69.0,0.009465020576131687
BCL11A,HIST1H1D,HIST1H1D,ENSG00000124575,13.214466094970703,25,70.0,0.009602194787379973
TAL1,CCDC15,CCDC15,ENSG00000149548,13.202499389648438,27,20.0,0.0027434842249657062
BCL11A,USP1,USP1,ENSG00000162607,13.181025505065918,27,71.0,0.009739368998628258
TAL1,CHD1,CHD1,ENSG00000153922,13.17616081237793,27,21.0,0.002880658436213992
BCL11A,FNDC3A,FNDC3A,ENSG00000102531,13.170449256896973,25,72.0,0.009876543209876543
TAL1,KIF26A,KIF26A,ENSG00000066735,13.147500038146973,27,22.0,0.003017832647462277
TAL1,NADSYN1,NADSYN1,ENSG00000172890,13.096981048583984,26,23.0,0.0031550068587105624
NFE2,ARHGDIA,ARHGDIA,ENSG00000141522,13.08271312713623,28,4.0,0.0005486968449931413
GFI1B,ZNF766,ZNF766,ENSG00000196214,13.078230857849121,28,2.0,0.00027434842249657066
KLF1,LACTB,LACTB,ENSG00000103642,12.97119426727295,28,6.0,0.0008230452674897119
TAL1,CLCN6,CLCN6,ENSG00000011021,12.93478775024414,28,24.0,0.0032921810699588477
TAL1,TPGS1,TPGS1,ENSG00000141933,12.9252347946167,25,25.0,0.003429355281207133
KLF1,SETDB2,SETDB2,ENSG00000136169,12.902138710021973,27,7.0,0.0009602194787379973
TAL1,FTH1,FTH1,ENSG00000167996,12.89456558227539,25,26.0,0.0035665294924554186
TAL1,NFKBIA,NFKBIA,ENSG00000100906,12.894521713256836,27,27.0,0.003703703703703704
GFI1B,TGFBR1,TGFBR1,ENSG00000106799,12.79991340637207,25,3.0,0.00041152263374485596
KLF1,HEXIM1,HEXIM1,ENSG00000186834,12.784263610839844,25,8.0,0.0010973936899862826
TAL1,RRAGC,RRAGC,ENSG00000116954,12.776934623718262,30,28.0,0.003840877914951989
TAL1,PPP1R8,PPP1R8,ENSG00000117751,12.7766695022583,28,29.0,0.003978052126200274
TAL1,METTL16,METTL16,ENSG00000127804,12.774214744567871,25,30.0,0.00411522633744856
TAL1,IFT43,IFT43,ENSG00000119650,12.745494842529297,35,31.0,0.004252400548696845
TAL1,MGA,MGA,ENSG00000174197,12.708535194396973,25,32.0,0.0043895747599451305
GFI1B,DEAF1,DEAF1,ENSG00000177030,12.685731887817383,25,4.0,0.0005486968449931413
TAL1,VAMP4,VAMP4,ENSG00000117533,12.647058486938477,25,33.0,0.004526748971193415
GATA1,AAGAB,AAGAB,ENSG00000103591,12.621443748474121,27,3.0,0.00041152263374485596
TAL1,TOR1B,TOR1B,ENSG00000136816,12.560931205749512,25,34.0,0.004663923182441701
GFI1B,HNRNPDL,HNRNPDL,ENSG00000152795,12.538262367248535,30,5.0,0.0006858710562414266
KLF1,HIST1H2BJ,HIST1H2BJ,ENSG00000124635,12.507956504821777,25,9.0,0.0012345679012345679
GFI1B,SCRN3,SCRN3,ENSG00000144306,12.46259593963623,28,6.0,0.0008230452674897119
GATA1,TAF4B,TAF4B,ENSG00000141384,12.453865051269531,27,4.0,0.0005486968449931413
NFE2,APOBEC3A,APOBEC3A,ENSG00000128383,12.431432723999023,25,5.0,0.0006858710562414266
TAL1,EGR1,EGR1,ENSG00000120738,12.398780822753906,25,35.0,0.004801097393689987
TAL1,ARHGAP17,ARHGAP17,ENSG00000140750,12.360097885131836,25,36.0,0.0049382716049382715
KLF1,ING1,ING1,ENSG00000153487,12.352150917053223,27,10.0,0.0013717421124828531
TAL1,UTP18,UTP18,ENSG00000011260,12.304232597351074,25,37.0,0.005075445816186557
GATA1,RNF152,RNF152,ENSG00000176641,12.266678810119629,28,5.0,0.0006858710562414266
GATA1,OTUB1,OTUB1,ENSG00000167770,12.189839363098145,27,6.0,0.0008230452674897119
KLF1,TIMM22,TIMM22,ENSG00000177370,12.129193305969238,30,11.0,0.0015089163237311386
TAL1,MRPL18,MRPL18,ENSG00000112110,12.122270584106445,26,38.0,0.005212620027434842
KLF1,SRCAP,SRCAP,ENSG00000080603,12.115069389343262,27,12.0,0.0016460905349794238
GFI1B,TERF2,TERF2,ENSG00000132604,12.11264705657959,25,7.0,0.0009602194787379973
NFE2,EHD1,EHD1,ENSG00000110047,12.100387573242188,31,6.0,0.0008230452674897119
NFE2,PIH1D1,PIH1D1,ENSG00000104872,12.099499702453613,27,7.0,0.0009602194787379973
KLF1,HLCS,HLCS,ENSG00000159267,12.084090232849121,25,13.0,0.0017832647462277093
NFE2,RAB11FIP4,RAB11FIP4,ENSG00000131242,12.043437957763672,27,8.0,0.0010973936899862826
GFI1B,IPPK,IPPK,ENSG00000127080,12.026436805725098,27,8.0,0.0010973936899862826
TAL1,OTUD4,OTUD4,ENSG00000164164,12.010290145874023,29,39.0,0.005349794238683128
KLF1,ENO2,ENO2,ENSG00000111674,11.911946296691895,25,14.0,0.0019204389574759945
GATA1,ABTB1,ABTB1,ENSG00000114626,11.909537315368652,25,7.0,0.0009602194787379973
GATA1,AL450384.2,AL450384.2,ENSG00000240291,11.903024673461914,26,8.0,0.0010973936899862826
GATA1,DST,DST,ENSG00000151914,11.848188400268555,25,9.0,0.0012345679012345679
TAL1,ABHD13,ABHD13,ENSG00000139826,11.827667236328125,25,40.0,0.0054869684499314125
GFI1B,GPS1,GPS1,ENSG00000169727,11.826570510864258,25,9.0,0.0012345679012345679
NFE2,ABHD17B,ABHD17B,ENSG00000107362,11.818854331970215,25,9.0,0.0012345679012345679
KLF1,ZC3H7B,ZC3H7B,ENSG00000100403,11.816254615783691,28,15.0,0.00205761316872428
TAL1,AP4S1,AP4S1,ENSG00000100478,11.777729034423828,25,41.0,0.005624142661179698
GATA1,SCYL3,SCYL3,ENSG00000000457,11.723800659179688,27,10.0,0.0013717421124828531
GFI1B,TMEM116,TMEM116,ENSG00000198270,11.64085578918457,27,10.0,0.0013717421124828531
KLF1,RABAC1,RABAC1,ENSG00000105404,11.631865501403809,26,16.0,0.0021947873799725653
NFE2,ERCC3,ERCC3,ENSG00000163161,11.630029678344727,28,10.0,0.0013717421124828531
NFE2,ALDH5A1,ALDH5A1,ENSG00000112294,11.626710891723633,25,11.0,0.0015089163237311386
NFE2,ATR,ATR,ENSG00000175054,11.625480651855469,26,12.0,0.0016460905349794238
NFE2,ANXA7,ANXA7,ENSG00000138279,11.59232234954834,31,13.0,0.0017832647462277093
GFI1B,MORN1,MORN1,ENSG00000116151,11.580472946166992,25,11.0,0.0015089163237311386
TAL1,HIST1H2BI,HIST1H2BI,ENSG00000278588,11.567156791687012,30,42.0,0.005761316872427984
KLF1,IFIT5,IFIT5,ENSG00000152778,11.564530372619629,27,17.0,0.0023319615912208505
NFE2,ALAS2,ALAS2,ENSG00000158578,11.556623458862305,25,14.0,0.0019204389574759945
TAL1,RELB,RELB,ENSG00000104856,11.530782699584961,25,43.0,0.005898491083676269
KLF1,RPRD2,RPRD2,ENSG00000163125,11.523289680480957,32,18.0,0.0024691358024691358
TAL1,SBNO2,SBNO2,ENSG00000064932,11.514495849609375,25,44.0,0.006035665294924554
GATA1,C16orf91,C16orf91,ENSG00000174109,11.488815307617188,25,11.0,0.0015089163237311386
TAL1,TFIP11,TFIP11,ENSG00000100109,11.471013069152832,25,45.0,0.006172839506172839
NFE2,RYK,RYK,ENSG00000163785,11.463069915771484,31,15.0,0.00205761316872428
GATA1,ALG11,ALG11,ENSG00000253710,11.445281028747559,26,12.0,0.0016460905349794238
GFI1B,COX10,COX10,ENSG00000006695,11.436068534851074,28,12.0,0.0016460905349794238
GFI1B,DRG1,DRG1,ENSG00000185721,11.365729331970215,26,13.0,0.0017832647462277093
NFE2,GALNT5,GALNT5,ENSG00000136542,11.349486351013184,27,16.0,0.0021947873799725653
KLF1,TMUB1,TMUB1,ENSG00000164897,11.310114860534668,27,19.0,0.002606310013717421
GFI1B,ATXN2,ATXN2,ENSG00000204842,11.309113502502441,34,14.0,0.0019204389574759945
GFI1B,MCM4,MCM4,ENSG00000104738,11.297831535339355,26,15.0,0.00205761316872428
KLF1,TMEM189,TMEM189,ENSG00000240849,11.294441223144531,25,20.0,0.0027434842249657062
GFI1B,FADS1,FADS1,ENSG00000149485,11.292635917663574,29,16.0,0.0021947873799725653
TAL1,AP1G1,AP1G1,ENSG00000166747,11.266053199768066,25,46.0,0.006310013717421125
GFI1B,LRRC28,LRRC28,ENSG00000168904,11.263662338256836,25,17.0,0.0023319615912208505
KLF1,HMG20B,HMG20B,ENSG00000064961,11.251667976379395,27,21.0,0.002880658436213992
GFI1B,IKBIP,IKBIP,ENSG00000166130,11.247098922729492,27,18.0,0.0024691358024691358
NFE2,HBZ,HBZ,ENSG00000130656,11.23909854888916,26,17.0,0.0023319615912208505
GFI1B,FBXW7,FBXW7,ENSG00000109670,11.235158920288086,31,19.0,0.002606310013717421
NFE2,TBCC,TBCC,ENSG00000124659,11.228272438049316,25,18.0,0.0024691358024691358
KLF1,CCDC28B,CCDC28B,ENSG00000160050,11.222038269042969,27,22.0,0.003017832647462277
GFI1B,WDR83,WDR83,ENSG00000123154,11.215818405151367,28,20.0,0.0027434842249657062
GATA1,TRIM8,TRIM8,ENSG00000171206,11.21058177947998,27,13.0,0.0017832647462277093
KLF1,PIR,PIR,ENSG00000087842,11.209074020385742,27,23.0,0.0031550068587105624
GATA1,LRIG2,LRIG2,ENSG00000198799,11.207708358764648,28,14.0,0.0019204389574759945
NFE2,ELAC2,ELAC2,ENSG00000006744,11.183815002441406,34,19.0,0.002606310013717421
TAL1,C12orf57,C12orf57,ENSG00000111678,11.182806968688965,26,47.0,0.0064471879286694105
GFI1B,ZNF213,ZNF213,ENSG00000085644,11.167584419250488,26,21.0,0.002880658436213992
TAL1,AL356599.1,AL356599.1,ENSG00000235652,11.138599395751953,25,48.0,0.006584362139917695
GFI1B,SLC36A4,SLC36A4,ENSG00000180773,11.131915092468262,28,22.0,0.003017832647462277
KLF1,P2RY1,P2RY1,ENSG00000169860,11.128230094909668,27,24.0,0.0032921810699588477
KLF1,KBTBD8,KBTBD8,ENSG00000163376,11.127582550048828,26,25.0,0.003429355281207133
GFI1B,GCN1,GCN1,ENSG00000089154,11.120509147644043,28,23.0,0.0031550068587105624
KLF1,TNRC6A,TNRC6A,ENSG00000090905,11.119378089904785,28,26.0,0.0035665294924554186
KLF1,IDH1,IDH1,ENSG00000138413,11.11469554901123,25,27.0,0.003703703703703704
TAL1,CCNYL1,CCNYL1,ENSG00000163249,11.11432933807373,25,49.0,0.006721536351165981
GFI1B,SYTL4,SYTL4,ENSG00000102362,11.10233211517334,25,24.0,0.0032921810699588477
GFI1B,ZNRF2,ZNRF2,ENSG00000180233,11.090245246887207,28,25.0,0.003429355281207133
GATA1,HARS2,HARS2,ENSG00000112855,11.076783180236816,27,15.0,0.00205761316872428
NFE2,NRBF2,NRBF2,ENSG00000148572,11.070829391479492,28,20.0,0.0027434842249657062
TAL1,ZKSCAN8,ZKSCAN8,ENSG00000198315,11.055420875549316,27,50.0,0.006858710562414266
GFI1B,SCAF1,SCAF1,ENSG00000126461,11.0360107421875,29,26.0,0.0035665294924554186
NFE2,ABCF2,ABCF2,ENSG00000033050,11.02695083618164,25,21.0,0.002880658436213992
NFE2,SLC25A13,SLC25A13,ENSG00000004864,11.0253267288208,25,22.0,0.003017832647462277
GFI1B,CHEK2,CHEK2,ENSG00000183765,11.011876106262207,29,27.0,0.003703703703703704
KLF1,HIST2H4B,HIST2H4B,ENSG00000270276,11.005383491516113,25,28.0,0.003840877914951989
GFI1B,NORAD,NORAD,ENSG00000260032,10.940661430358887,27,28.0,0.003840877914951989
TAL1,FBRS,FBRS,ENSG00000156860,10.933676719665527,27,51.0,0.0069958847736625515
NFE2,CCDC9,CCDC9,ENSG00000105321,10.922496795654297,30,23.0,0.0031550068587105624
GFI1B,RDX,RDX,ENSG00000137710,10.899824142456055,25,29.0,0.003978052126200274
GFI1B,CPEB1,CPEB1,ENSG00000214575,10.879951477050781,32,30.0,0.00411522633744856
TAL1,PVT1,PVT1,ENSG00000249859,10.877388000488281,28,52.0,0.007133058984910837
KLF1,SNAP23,SNAP23,ENSG00000092531,10.85046672821045,25,29.0,0.003978052126200274
TAL1,ERCC1,ERCC1,ENSG00000012061,10.82250690460205,28,53.0,0.007270233196159122
GATA1,AAAS,AAAS,ENSG00000094914,10.819194793701172,26,16.0,0.0021947873799725653
NFE2,MAGED2,MAGED2,ENSG00000102316,10.809103965759277,25,24.0,0.0032921810699588477
KLF1,SNHG10,SNHG10,ENSG00000247092,10.790518760681152,27,30.0,0.00411522633744856
KLF1,TRUB1,TRUB1,ENSG00000165832,10.788430213928223,27,31.0,0.004252400548696845
GFI1B,AC109587.1,AC109587.1,ENSG00000244513,10.785589218139648,25,31.0,0.004252400548696845
NFE2,PYCR1,PYCR1,ENSG00000183010,10.77566146850586,26,25.0,0.003429355281207133
KLF1,UBE2V1,UBE2V1,ENSG00000244687,10.76624584197998,32,32.0,0.0043895747599451305
GATA1,MICOS13,MICOS13,ENSG00000174917,10.760188102722168,25,17.0,0.0023319615912208505
KLF1,CASP10,CASP10,ENSG00000003400,10.740402221679688,27,33.0,0.004526748971193415
TAL1,SNHG16,SNHG16,ENSG00000163597,10.7374849319458,25,54.0,0.007407407407407408
GFI1B,FRG1,FRG1,ENSG00000109536,10.73544979095459,30,32.0,0.0043895747599451305
KLF1,IER5,IER5,ENSG00000162783,10.699957847595215,27,34.0,0.004663923182441701
TAL1,HIST1H3J,HIST1H3J,ENSG00000197153,10.696614265441895,25,55.0,0.0075445816186556925
GFI1B,HSDL2,HSDL2,ENSG00000119471,10.683205604553223,30,33.0,0.004526748971193415
GFI1B,CCDC88C,CCDC88C,ENSG00000015133,10.681218147277832,25,34.0,0.004663923182441701
NFE2,SLC10A3,SLC10A3,ENSG00000126903,10.673154830932617,28,26.0,0.0035665294924554186
KLF1,POLR3D,POLR3D,ENSG00000168495,10.651898384094238,26,35.0,0.004801097393689987
GFI1B,MCM2,MCM2,ENSG00000073111,10.63701343536377,25,35.0,0.004801097393689987
GATA1,FRMD3,FRMD3,ENSG00000172159,10.635774612426758,29,18.0,0.0024691358024691358
GFI1B,PPIA,PPIA,ENSG00000196262,10.635732650756836,29,36.0,0.0049382716049382715
TAL1,JMJD6,JMJD6,ENSG00000070495,10.632054328918457,25,56.0,0.007681755829903978
GFI1B,BCL11A,BCL11A,ENSG00000119866,10.625271797180176,29,37.0,0.005075445816186557
GFI1B,FCHSD2,FCHSD2,ENSG00000137478,10.625265121459961,25,38.0,0.005212620027434842
GFI1B,TRMU,TRMU,ENSG00000100416,10.61154556274414,26,39.0,0.005349794238683128
GFI1B,RMI1,RMI1,ENSG00000178966,10.600716590881348,27,40.0,0.0054869684499314125
KLF1,VGLL4,VGLL4,ENSG00000144560,10.593798637390137,27,36.0,0.0049382716049382715
GATA1,ATF7,ATF7,ENSG00000170653,10.588639259338379,25,19.0,0.002606310013717421
KLF1,ADAM9,ADAM9,ENSG00000168615,10.583147048950195,30,37.0,0.005075445816186557
GATA1,AL157392.3,AL157392.3,ENSG00000239665,10.57177734375,29,20.0,0.0027434842249657062
KLF1,TM9SF2,TM9SF2,ENSG00000125304,10.540964126586914,27,38.0,0.005212620027434842
GATA1,C12orf29,C12orf29,ENSG00000133641,10.52554988861084,25,21.0,0.002880658436213992
GATA1,GALK2,GALK2,ENSG00000156958,10.50901985168457,26,22.0,0.003017832647462277
NFE2,FECH,FECH,ENSG00000066926,10.503998756408691,28,27.0,0.003703703703703704
KLF1,SERPINE2,SERPINE2,ENSG00000135919,10.503677368164062,28,39.0,0.005349794238683128
TAL1,TMEM117,TMEM117,ENSG00000139173,10.490617752075195,26,57.0,0.007818930041152264
GFI1B,MCM3,MCM3,ENSG00000112118,10.48455810546875,29,41.0,0.005624142661179698
GFI1B,SCLY,SCLY,ENSG00000132330,10.474748611450195,29,42.0,0.005761316872427984
NFE2,TGFBR2,TGFBR2,ENSG00000163513,10.4668550491333,25,28.0,0.003840877914951989
GFI1B,LDHB,LDHB,ENSG00000111716,10.460537910461426,26,43.0,0.005898491083676269
TAL1,ICAM4,ICAM4,ENSG00000105371,10.444306373596191,27,58.0,0.007956104252400549
GFI1B,REXO1,REXO1,ENSG00000079313,10.442328453063965,26,44.0,0.006035665294924554
KLF1,TRIM52,TRIM52,ENSG00000183718,10.427093505859375,26,40.0,0.0054869684499314125
KLF1,CLEC2B,CLEC2B,ENSG00000110852,10.421760559082031,25,41.0,0.005624142661179698
KLF1,ZNF609,ZNF609,ENSG00000180357,10.415907859802246,25,42.0,0.005761316872427984
NFE2,CLCN2,CLCN2,ENSG00000114859,10.41573715209961,25,29.0,0.003978052126200274
NFE2,SLC5A4-AS1,SLC5A4-AS1,ENSG00000242082,10.414373397827148,26,30.0,0.00411522633744856
GFI1B,ATAD5,ATAD5,ENSG00000176208,10.400182723999023,27,45.0,0.006172839506172839
GFI1B,MBIP,MBIP,ENSG00000151332,10.392791748046875,29,46.0,0.006310013717421125
TAL1,ENO1,ENO1,ENSG00000074800,10.388858795166016,25,59.0,0.008093278463648833
TAL1,VPS13B,VPS13B,ENSG00000132549,10.38460636138916,29,60.0,0.00823045267489712
KLF1,SLX4,SLX4,ENSG00000188827,10.379335403442383,25,43.0,0.005898491083676269
TAL1,RLF,RLF,ENSG00000117000,10.367164611816406,27,61.0,0.008367626886145405
GFI1B,PNN,PNN,ENSG00000100941,10.366622924804688,27,47.0,0.0064471879286694105
NFE2,CTSB,CTSB,ENSG00000164733,10.346173286437988,26,31.0,0.004252400548696845
GFI1B,OGFOD1,OGFOD1,ENSG00000087263,10.33113956451416,27,48.0,0.006584362139917695
GATA1,PRPF19,PRPF19,ENSG00000110107,10.328238487243652,26,23.0,0.0031550068587105624
KLF1,NFE2L3,NFE2L3,ENSG00000050344,10.325810432434082,26,44.0,0.006035665294924554
