TF,target,target_symbol,target_gene_id,signed_association,absolute_association,p_value,positive_sign_frequency,bootstrap_sign_consistency,bootstrap_top1_frequency,bootstrap_top5_frequency,bootstrap_top10_frequency,fdr_global,stable_edge
NFE2,LRRN2,LRRN2,ENSG00000170382,0.16819122297171235,0.16819122297171235,1.0636561759474382e-09,1.0,1.0,0.63,0.98,1.0,3.4462460100697e-07,True
GATA1,PRDX2,PRDX2,ENSG00000167815,0.16795145472607656,0.16795145472607656,1.1239573002368517e-09,1.0,1.0,0.96,1.0,1.0,3.614845022967639e-07,True
BCL11A,USP24,USP24,ENSG00000162402,0.1675408181892008,0.1675408181892008,1.2350510892272707e-09,1.0,1.0,0.35,0.87,0.96,3.943148514073052e-07,True
NFE2,STX2,STX2,ENSG00000111450,0.16722183999128593,0.16722183999128593,1.3286577067431982e-09,1.0,1.0,0.62,1.0,1.0,4.211267253112137e-07,True
GFI1B,EXOC6,EXOC6,ENSG00000138190,0.16710913091471544,0.16710913091471544,1.3633567004417026e-09,1.0,1.0,0.74,0.96,0.98,4.290159861677703e-07,True
NFE2,GYPE,GYPE,ENSG00000197465,0.16700061073211556,0.16700061073211556,1.3975989603427472e-09,1.0,1.0,0.6,1.0,1.0,4.366498466099411e-07,True
BCL11A,BCAP29,BCAP29,ENSG00000075790,0.16696193771322723,0.16696193771322723,1.4100029827089457e-09,1.0,1.0,0.33,0.84,0.95,4.374009252743921e-07,True
BCL11A,CD58,CD58,ENSG00000116815,0.16692011157776854,0.16692011157776854,1.4235389804163961e-09,1.0,1.0,0.29,0.85,0.96,4.3849010565783926e-07,True
BCL11A,MAN2A1,MAN2A1,ENSG00000112893,0.16672606052656389,0.16672606052656389,1.488011715470693e-09,1.0,1.0,0.28,0.91,0.98,4.5262079672556754e-07,True
BCL11A,SPTB,SPTB,ENSG00000070182,0.1667198846408014,0.1667198846408014,1.490109618849605e-09,1.0,1.0,0.2,0.84,0.99,4.5262079672556754e-07,True
GFI1B,CARHSP1,CARHSP1,ENSG00000153048,0.16640180236641267,0.16640180236641267,1.6021416342938026e-09,1.0,1.0,0.67,0.92,0.98,4.832943109242132e-07,True
NFE2,AHSP,AHSP,ENSG00000169877,0.1656944316447295,0.1656944316447295,1.8814682336157635e-09,1.0,1.0,0.58,0.99,1.0,5.575863839175361e-07,True
GATA1,HMBS,HMBS,ENSG00000256269,0.16568183149136573,0.16568183149136573,1.886850224531814e-09,1.0,1.0,0.82,0.98,1.0,5.575863839175361e-07,True
NFE2,TRIM10,TRIM10,ENSG00000204613,0.1656711306413075,0.1656711306413075,1.8914327155714364e-09,1.0,1.0,0.6,0.97,0.99,5.575863839175361e-07,True
