TF,target,target_symbol,target_gene_id,signed_association,absolute_association,p_value,positive_sign_frequency,bootstrap_sign_consistency,bootstrap_top1_frequency,bootstrap_top5_frequency,bootstrap_top10_frequency,fdr_global,stable_edge
NFE2,USP32,USP32,ENSG00000170832,0.15061557189970787,0.15061557189970787,4.915261865998089e-08,1.0,1.0,0.33,0.96,1.0,8.497768933547684e-06,True
NFE2,TSPO2,TSPO2,ENSG00000112212,0.15053372538428333,0.15053372538428333,4.9988690551658866e-08,1.0,1.0,0.4,0.95,0.98,8.574530685213956e-06,True
NFE2,UROD,UROD,ENSG00000126088,0.150189502508867,0.150189502508867,5.3658185581093824e-08,1.0,1.0,0.33,0.95,0.99,9.132330884502115e-06,True
GATA1,KEL,KEL,ENSG00000197993,0.15005005799088844,0.15005005799088844,5.521775771577137e-08,1.0,1.0,0.79,0.97,1.0,9.361336133673796e-06,True
NFE2,LINC00278,LINC00278,ENSG00000231535,0.14988258193332643,0.14988258193332643,5.714888451673444e-08,1.0,1.0,0.35,0.93,0.98,9.614200802930632e-06,True
BCL11A,CMAS,CMAS,ENSG00000111726,0.1498521921924347,0.1498521921924347,5.7506239360434217e-08,1.0,1.0,0.17,0.73,0.89,9.637252527300355e-06,True
GFI1B,RPL11,RPL11,ENSG00000142676,0.14974484107444444,0.14974484107444444,5.878598415849759e-08,1.0,1.0,0.48,0.98,0.99,9.81411811867437e-06,True
GFI1B,RPL21,RPL21,ENSG00000122026,0.1495147672089809,0.1495147672089809,6.162223041144683e-08,1.0,1.0,0.46,0.9,0.97,1.013291863983716e-05,True
TAL1,WNK1,WNK1,ENSG00000060237,0.14945082480023164,0.14945082480023164,6.243371486792439e-08,1.0,1.0,0.8,0.97,0.99,1.01897413743396e-05,True
NFE2,ANKH,ANKH,ENSG00000154122,0.14921739129016645,0.14921739129016645,6.548489748990229e-08,1.0,1.0,0.36,0.96,1.0,1.0647990394826492e-05,True
NFE2,DECR1,DECR1,ENSG00000104325,0.14872547195722635,0.14872547195722635,7.239431527378005e-08,1.0,1.0,0.28,0.93,0.99,1.1727879074352368e-05,True
GFI1B,HBA2,HBA2,ENSG00000188536,-0.1486842385313152,0.1486842385313152,7.300448960815831e-08,0.0,1.0,0.41,0.9,0.98,1.1783086256313079e-05,True
BCL11A,TRIB3,TRIB3,ENSG00000101255,0.14861930397859785,0.14861930397859785,7.397549402511425e-08,1.0,1.0,0.1,0.71,0.92,1.1862579402552543e-05,True
BCL11A,PTMA,PTMA,ENSG00000187514,0.1485970838114757,0.1485970838114757,7.431062542979874e-08,1.0,1.0,0.06,0.71,0.87,1.1862579402552543e-05,True
BCL11A,TMEM233,TMEM233,ENSG00000224982,0.14846125022022613,0.14846125022022613,7.639146872596713e-08,1.0,1.0,0.11,0.76,0.88,1.2106387108963051e-05,True
NFE2,NFIA,NFIA,ENSG00000162599,0.14837545420348125,0.14837545420348125,7.773470933831443e-08,1.0,1.0,0.32,0.95,0.99,1.2274787676743224e-05,True
BCL11A,STRN,STRN,ENSG00000115808,0.1480618568948026,0.1480618568948026,8.284155486109788e-08,1.0,1.0,0.17,0.76,0.91,1.2921065990962153e-05,True
BCL11A,CENPK,CENPK,ENSG00000123219,0.14805188619748522,0.14805188619748522,8.300913450983916e-08,1.0,1.0,0.14,0.7,0.88,1.2921065990962153e-05,True
GFI1B,DHX9,DHX9,ENSG00000135829,0.1478911098044911,0.1478911098044911,8.575703726484053e-08,1.0,1.0,0.5,0.94,0.99,1.3161448456014472e-05,True
GFI1B,NASP,NASP,ENSG00000132780,0.14765522571733578,0.14765522571733578,8.994845009129673e-08,1.0,1.0,0.4,0.83,0.96,1.366092085761569e-05,True
GFI1B,RPS5,RPS5,ENSG00000083845,0.14762068376716492,0.14762068376716492,9.057861633861585e-08,1.0,1.0,0.51,0.9,0.99,1.3709026569726842e-05,True
GFI1B,EEF1G,EEF1G,ENSG00000254772,0.1475168846445813,0.1475168846445813,9.249807313444553e-08,1.0,1.0,0.37,0.82,0.94,1.3951261099657405e-05,True
KLF1,EPOR,EPOR,ENSG00000187266,0.14726734615673148,0.14726734615673148,9.72748605456119e-08,1.0,1.0,0.78,0.97,0.98,1.4621314090257954e-05,True
GFI1B,TCF12,TCF12,ENSG00000140262,0.14707034106165004,0.14707034106165004,1.0121366421211925e-07,1.0,1.0,0.39,0.82,0.96,1.5109507415147086e-05,True
GATA1,BLVRB,BLVRB,ENSG00000090013,0.14704823599806002,0.14704823599806002,1.0166512313373242e-07,1.0,1.0,0.75,0.96,1.0,1.5125280564181823e-05,True
NFE2,GALNT5,GALNT5,ENSG00000136542,0.14703085971802454,0.14703085971802454,1.020213706424179e-07,1.0,1.0,0.41,0.96,0.99,1.5126829667455455e-05,True
NFE2,BMP2K,BMP2K,ENSG00000138756,0.14695343401739874,0.14695343401739874,1.0362347125003703e-07,1.0,1.0,0.28,0.92,0.98,1.5312468352961555e-05,True
GFI1B,RPS27A,RPS27A,ENSG00000143947,0.14674065496933555,0.14674065496933555,1.0815258860528132e-07,1.0,1.0,0.34,0.9,0.98,1.582138536988296e-05,True
NFE2,RAD23A,RAD23A,ENSG00000179262,0.1466257661045443,0.1466257661045443,1.1067701349587425e-07,1.0,1.0,0.32,0.94,1.0,1.6136708567698465e-05,True
GFI1B,ATAD2,ATAD2,ENSG00000156802,0.14560456450999976,0.14560456450999976,1.3576476523706257e-07,1.0,1.0,0.43,0.84,0.96,1.9155970424093925e-05,True
KLF1,ISG15,ISG15,ENSG00000187608,-0.1455641533688178,0.1455641533688178,1.3686291200115704e-07,0.0,1.0,0.75,0.96,0.99,1.920148636911694e-05,True
GFI1B,H2AFY,H2AFY,ENSG00000113648,0.14556040025569542,0.14556040025569542,1.3696533486887253e-07,1.0,1.0,0.4,0.87,0.98,1.920148636911694e-05,True
NFE2,MFSD2B,MFSD2B,ENSG00000205639,0.14513273024949858,0.14513273024949858,1.4913446687720827e-07,1.0,1.0,0.35,0.96,0.98,2.0774336245888823e-05,True
GATA1,LPIN2,LPIN2,ENSG00000101577,-0.14506831479537938,0.14506831479537938,1.5105558612787276e-07,0.0,1.0,0.68,0.97,0.99,2.0975147102327476e-05,True
GATA1,FAM210B,FAM210B,ENSG00000124098,0.1450271062468852,0.1450271062468852,1.522971001676856e-07,1.0,1.0,0.68,0.97,0.98,2.1014117228184756e-05,True
NFE2,MTMR3,MTMR3,ENSG00000100330,0.14494870000501087,0.14494870000501087,1.5468656400541436e-07,1.0,1.0,0.34,0.89,0.98,2.1276699086782466e-05,True
KLF1,CDKN1A,CDKN1A,ENSG00000124762,-0.1444564509648604,0.1444564509648604,1.7053648001454105e-07,0.0,1.0,0.75,0.96,0.99,2.3093701658935063e-05,True
KLF1,CLEC2B,CLEC2B,ENSG00000110852,-0.14431518325103013,0.14431518325103013,1.7536754552578843e-07,0.0,1.0,0.76,0.97,0.99,2.3601773665532267e-05,True
GATA1,KLF13,KLF13,ENSG00000169926,0.14423544293303034,0.14423544293303034,1.7815257709882248e-07,1.0,1.0,0.59,0.97,1.0,2.3903048227921766e-05,True
GFI1B,RPL7,RPL7,ENSG00000147604,0.1441535134010132,0.1441535134010132,1.8105853583395554e-07,1.0,1.0,0.31,0.87,0.96,2.421865552714745e-05,True
TAL1,DAPK1,DAPK1,ENSG00000196730,0.14394959691900805,0.14394959691900805,1.8849136041775585e-07,1.0,1.0,0.8,0.97,0.99,2.5136012514245856e-05,True
GATA1,RHCE,RHCE,ENSG00000188672,0.1438117652597411,0.1438117652597411,1.9368132538727264e-07,1.0,1.0,0.73,0.96,0.99,2.5740881751139186e-05,True
NFE2,CD58,CD58,ENSG00000116815,0.14379807783468967,0.14379807783468967,1.9420418330763446e-07,1.0,1.0,0.23,0.92,0.96,2.5740881751139186e-05,True
GATA1,PDE12,PDE12,ENSG00000174840,0.14378190906473798,0.14378190906473798,1.9482358407841892e-07,1.0,1.0,0.71,0.94,0.99,2.574496546099711e-05,True
NFE2,TRAK2,TRAK2,ENSG00000115993,0.14372894035353279,0.14372894035353279,1.9686612126287956e-07,1.0,1.0,0.32,0.95,0.99,2.585863106317823e-05,True
KLF1,TSPAN5,TSPAN5,ENSG00000168785,0.14332422588076996,0.14332422588076996,2.1316946597628775e-07,1.0,1.0,0.81,0.98,0.99,2.737654563796641e-05,True
NFE2,HBM,HBM,ENSG00000206177,0.14331409283008567,0.14331409283008567,2.1359393728782996e-07,1.0,1.0,0.27,0.92,1.0,2.737654563796641e-05,True
NFE2,NSUN3,NSUN3,ENSG00000178694,-0.1433031012390601,0.1433031012390601,2.140552951116715e-07,0.0,1.0,0.36,0.91,0.99,2.737654563796641e-05,True
NFE2,GPX4,GPX4,ENSG00000167468,-0.14320803067769824,0.14320803067769824,2.1808610164026308e-07,0.0,1.0,0.19,0.9,0.98,2.772990141204973e-05,True
BCL11A,SUZ12,SUZ12,ENSG00000178691,0.14244680139689608,0.14244680139689608,2.5311112207714486e-07,1.0,1.0,0.07,0.71,0.93,3.1722293637977986e-05,True
NFE2,AC024267.1,AC024267.1,ENSG00000264066,0.14239093565633032,0.14239093565633032,2.558850955193645e-07,1.0,1.0,0.25,0.94,0.98,3.197832593719143e-05,True
GFI1B,RPL10A,RPL10A,ENSG00000198755,0.1422577055620388,0.1422577055620388,2.6261943937147e-07,1.0,1.0,0.3,0.82,0.95,3.2726422444752415e-05,True
NFE2,JAK1,JAK1,ENSG00000162434,-0.1421694372297028,0.1421694372297028,2.6717494148333643e-07,0.0,1.0,0.25,0.9,0.98,3.314758562677801e-05,True
NFE2,RHD,RHD,ENSG00000187010,0.1421629102245812,0.1421629102245812,2.675148085563017e-07,1.0,1.0,0.16,0.92,0.98,3.314758562677801e-05,True
GATA1,RPS17,RPS17,ENSG00000182774,0.14148843725224294,0.14148843725224294,3.049766759918458e-07,1.0,1.0,0.75,0.96,0.99,3.715788247321263e-05,True
GFI1B,COPS3,COPS3,ENSG00000141030,0.1414156725783367,0.1414156725783367,3.093082163037555e-07,1.0,1.0,0.44,0.84,0.95,3.7580948280906296e-05,True
GFI1B,RTTN,RTTN,ENSG00000176225,0.14122252726733847,0.14122252726733847,3.2109548402501544e-07,1.0,1.0,0.35,0.8,0.96,3.890503177632735e-05,True
NFE2,PPIP5K2,PPIP5K2,ENSG00000145725,0.14113531457468612,0.14113531457468612,3.2655876059257253e-07,1.0,1.0,0.26,0.89,0.96,3.942709826404871e-05,True
GFI1B,NAP1L1,NAP1L1,ENSG00000187109,0.14111083223649692,0.14111083223649692,3.28108453774891e-07,1.0,1.0,0.34,0.87,0.93,3.942709826404871e-05,True
GFI1B,ABCC5,ABCC5,ENSG00000114770,0.1408967467346141,0.1408967467346141,3.4196525467891456e-07,1.0,1.0,0.26,0.8,0.96,4.075629493094202e-05,True
GFI1B,HSDL2,HSDL2,ENSG00000119471,0.14083516954982586,0.14083516954982586,3.4605424949009476e-07,1.0,1.0,0.28,0.81,0.98,4.1131556719284635e-05,True
GFI1B,RACK1,RACK1,ENSG00000204628,0.14067048440980287,0.14067048440980287,3.5722302496288887e-07,1.0,1.0,0.37,0.86,0.98,4.214544709766992e-05,True
TAL1,HERC1,HERC1,ENSG00000103657,0.140666825099527,0.140666825099527,3.5747509998252265e-07,1.0,1.0,0.74,0.96,0.99,4.214544709766992e-05,True
GFI1B,RPLP0,RPLP0,ENSG00000089157,0.14053295995199663,0.14053295995199663,3.6681532347323945e-07,1.0,1.0,0.26,0.84,0.93,4.2671548533828445e-05,True
GFI1B,CDC6,CDC6,ENSG00000094804,0.14034448958743093,0.14034448958743093,3.803652492379234e-07,1.0,1.0,0.32,0.75,0.89,4.413044032272352e-05,True
NFE2,PTPRA,PTPRA,ENSG00000132670,0.14032480638105022,0.14032480638105022,3.818078670128667e-07,1.0,1.0,0.28,0.95,0.99,4.418062461148886e-05,True
NFE2,RFX3-AS1,RFX3-AS1,ENSG00000232104,0.14023589501772066,0.14023589501772066,3.883903213679794e-07,1.0,1.0,0.27,0.91,0.97,4.4705770149040576e-05,True
GFI1B,DNMT1,DNMT1,ENSG00000130816,0.14012547103688713,0.14012547103688713,3.967178229009417e-07,1.0,1.0,0.32,0.73,0.91,4.543582759979519e-05,True
NFE2,FRMD4A,FRMD4A,ENSG00000151474,0.14012425627623257,0.14012425627623257,3.968103827874202e-07,1.0,1.0,0.19,0.9,0.98,4.543582759979519e-05,True
GFI1B,KLF13,KLF13,ENSG00000169926,0.14005431853193298,0.14005431853193298,4.0217459669315433e-07,1.0,1.0,0.35,0.78,0.91,4.592980903226781e-05,True
GATA1,ITSN1,ITSN1,ENSG00000205726,0.13980230938361338,0.13980230938361338,4.220893274528292e-07,1.0,1.0,0.66,0.92,0.96,4.7953732942303244e-05,True
NFE2,LPIN2,LPIN2,ENSG00000101577,-0.13970522838333332,0.13970522838333332,4.300118180562837e-07,0.0,1.0,0.14,0.89,0.96,4.872724591135194e-05,True
NFE2,CHST2,CHST2,ENSG00000175040,0.13954063569051736,0.13954063569051736,4.437722436978146e-07,1.0,1.0,0.24,0.95,0.97,4.995268864169582e-05,True
NFE2,NCEH1,NCEH1,ENSG00000144959,0.1393441629633259,0.1393441629633259,4.6075385472518085e-07,1.0,1.0,0.23,0.91,0.97,5.128084886941326e-05,True
NFE2,ASAP1,ASAP1,ENSG00000153317,0.1391203286100943,0.1391203286100943,4.808635162015031e-07,1.0,1.0,0.22,0.92,0.99,5.2846658790587304e-05,True
NFE2,IDS,IDS,ENSG00000010404,-0.13906891026097903,0.13906891026097903,4.85601053390307e-07,0.0,1.0,0.27,0.89,0.97,5.3233559085944936e-05,True
GATA1,SPTA1,SPTA1,ENSG00000163554,0.13895990954934384,0.13895990954934384,4.957932026770862e-07,1.0,1.0,0.66,0.95,0.98,5.40797872446278e-05,True
GATA1,CD36,CD36,ENSG00000135218,0.138914725381781,0.138914725381781,5.000783061539093e-07,1.0,1.0,0.78,0.96,1.0,5.441150525167163e-05,True
GFI1B,PARP1,PARP1,ENSG00000143799,0.13875120083927228,0.13875120083927228,5.158865590907049e-07,1.0,1.0,0.3,0.73,0.92,5.599225333654449e-05,True
NFE2,PABPC1,PABPC1,ENSG00000070756,0.13809514761872466,0.13809514761872466,5.842855132541707e-07,1.0,1.0,0.22,0.89,0.95,6.296340989576567e-05,True
NFE2,PPME1,PPME1,ENSG00000214517,0.13809380530594073,0.13809380530594073,5.844340287535633e-07,1.0,1.0,0.2,0.91,0.97,6.296340989576567e-05,True
GFI1B,ABCB10,ABCB10,ENSG00000135776,0.13805735313831727,0.13805735313831727,5.884810760024076e-07,1.0,1.0,0.31,0.8,0.92,6.311922077389812e-05,True
NFE2,TESC,TESC,ENSG00000088992,0.13792240778655623,0.13792240778655623,6.036993247387057e-07,1.0,1.0,0.2,0.89,0.98,6.43942283155925e-05,True
NFE2,FCHO2,FCHO2,ENSG00000157107,0.13791036163814302,0.13791036163814302,6.05076082252138e-07,1.0,1.0,0.3,0.9,0.97,6.43942283155925e-05,True
NFE2,H3F3A,H3F3A,ENSG00000163041,0.1378080776635861,0.1378080776635861,6.168885822245661e-07,1.0,1.0,0.16,0.87,0.99,6.533342999153152e-05,True
GFI1B,CLSPN,CLSPN,ENSG00000092853,0.13759765398518276,0.13759765398518276,6.418919465608252e-07,1.0,1.0,0.3,0.78,0.91,6.765386443992891e-05,True
GFI1B,PCNA,PCNA,ENSG00000132646,0.13757588736030957,0.13757588736030957,6.445333252340423e-07,1.0,1.0,0.22,0.78,0.92,6.776896068686782e-05,True
GFI1B,RPA3,RPA3,ENSG00000106399,0.13753205287131484,0.13753205287131484,6.498844259189149e-07,1.0,1.0,0.33,0.73,0.92,6.800465260692185e-05,True
TAL1,GPCPD1,GPCPD1,ENSG00000125772,0.13736519202766345,0.13736519202766345,6.706479074505786e-07,1.0,1.0,0.66,0.97,1.0,7.000987940784799e-05,True
GFI1B,RPL4,RPL4,ENSG00000174444,0.13734177546961157,0.13734177546961157,6.736123744392763e-07,1.0,1.0,0.24,0.83,0.97,7.015191728089034e-05,True
NFE2,PTMS,PTMS,ENSG00000159335,0.13723562622334254,0.13723562622334254,6.872094647200558e-07,1.0,1.0,0.24,0.93,1.0,7.13979619640267e-05,True
GATA1,MGST3,MGST3,ENSG00000143198,0.13700526926278314,0.13700526926278314,7.176313794440006e-07,1.0,1.0,0.55,0.93,0.97,7.403112390773724e-05,True
NFE2,TMEM86B,TMEM86B,ENSG00000180089,0.1368139522239483,0.1368139522239483,7.438788299788634e-07,1.0,1.0,0.22,0.87,0.95,7.649640607579625e-05,True
GFI1B,NEDD4,NEDD4,ENSG00000069869,0.13680573426704515,0.13680573426704515,7.450267258410883e-07,1.0,1.0,0.22,0.74,0.82,7.649640607579625e-05,True
NFE2,TMOD1,TMOD1,ENSG00000136842,0.1367512973627464,0.1367512973627464,7.526737033066007e-07,1.0,1.0,0.17,0.86,0.98,7.710058028719138e-05,True
NFE2,HADHA,HADHA,ENSG00000084754,0.13656424023129926,0.13656424023129926,7.795302408434708e-07,1.0,1.0,0.2,0.87,0.97,7.966507648246124e-05,True
GFI1B,FEN1,FEN1,ENSG00000168496,0.136513422998385,0.136513422998385,7.86984071285815e-07,1.0,1.0,0.26,0.8,0.93,7.988435060915199e-05,True
GFI1B,RPS16,RPS16,ENSG00000105193,0.13650929489189556,0.13650929489189556,7.875925809088929e-07,1.0,1.0,0.19,0.81,0.98,7.988435060915199e-05,True
GFI1B,RPL36A,RPL36A,ENSG00000241343,0.13649988575674724,0.13649988575674724,7.889812405842172e-07,1.0,1.0,0.2,0.8,0.96,7.988435060915199e-05,True
TAL1,TENT5C,TENT5C,ENSG00000183508,0.13645848096814608,0.13645848096814608,7.951200617699543e-07,1.0,1.0,0.65,0.94,0.98,8.031998037371316e-05,True
GFI1B,RPL5,RPL5,ENSG00000122406,0.13619593271015892,0.13619593271015892,8.351293764784682e-07,1.0,1.0,0.2,0.79,0.95,8.37810984568078e-05,True
KLF1,CLK3,CLK3,ENSG00000179335,0.13617040551483345,0.13617040551483345,8.391211271227331e-07,1.0,1.0,0.73,0.98,1.0,8.398892013809691e-05,True
TAL1,FOXO3,FOXO3,ENSG00000118689,0.13609829309689134,0.13609829309689134,8.504969286527217e-07,1.0,1.0,0.67,0.92,0.98,8.493318643668961e-05,True
NFE2,MORC3,MORC3,ENSG00000159256,0.1359914373935448,0.1359914373935448,8.676266904391917e-07,1.0,1.0,0.24,0.85,0.95,8.635547734236604e-05,True
GATA1,RPS19,RPS19,ENSG00000105372,0.1359848842992796,0.1359848842992796,8.686879293699374e-07,1.0,1.0,0.63,0.92,0.98,8.635547734236604e-05,True
GFI1B,DEK,DEK,ENSG00000124795,0.13592536959344595,0.13592536959344595,8.783833521697797e-07,1.0,1.0,0.24,0.79,0.93,8.712128758255366e-05,True
NFE2,CPLANE1,CPLANE1,ENSG00000197603,0.13590155003437768,0.13590155003437768,8.822928410688257e-07,1.0,1.0,0.14,0.84,0.97,8.731106078812317e-05,True
NFE2,MFHAS1,MFHAS1,ENSG00000147324,0.1358107279253725,0.1358107279253725,8.973535415551238e-07,1.0,1.0,0.18,0.88,0.97,8.84014502423899e-05,True
NFE2,RIPOR3,RIPOR3,ENSG00000042062,0.13577635692270493,0.13577635692270493,9.031174018364943e-07,1.0,1.0,0.21,0.87,0.96,8.846517546341774e-05,True
KLF1,SOX6,SOX6,ENSG00000110693,0.135595154654474,0.135595154654474,9.340976931603597e-07,1.0,1.0,0.67,0.93,0.96,9.039255110361534e-05,True
GATA1,RPSA,RPSA,ENSG00000168028,0.13555986515236068,0.13555986515236068,9.402489191943195e-07,1.0,1.0,0.6,0.92,1.0,9.064650766133011e-05,True
GFI1B,EXOC5,EXOC5,ENSG00000070367,0.13555633257309682,0.13555633257309682,9.408668147746656e-07,1.0,1.0,0.33,0.76,0.9,9.064650766133011e-05,True
GFI1B,HBA1,HBA1,ENSG00000206172,-0.13540388789431756,0.13540388789431756,9.67906622493365e-07,0.0,1.0,0.2,0.75,0.96,9.304667179749403e-05,True
NFE2,CYTOR,CYTOR,ENSG00000222041,0.13523680680426894,0.13523680680426894,9.984006248487139e-07,1.0,1.0,0.21,0.82,0.95,9.555808168683314e-05,True
GFI1B,LDHB,LDHB,ENSG00000111716,0.1351255141999015,0.1351255141999015,1.0192229678898646e-06,1.0,1.0,0.27,0.75,0.89,9.733801881114121e-05,True
GATA1,RFESD,RFESD,ENSG00000175449,0.13498198928501046,0.13498198928501046,1.0466928712805781e-06,1.0,1.0,0.56,0.9,0.97,9.931094618180583e-05,True
NFE2,AMMECR1,AMMECR1,ENSG00000101935,0.13483063103243126,0.13483063103243126,1.0764326559032407e-06,1.0,1.0,0.18,0.89,0.93,0.00010191161118876137,True
GFI1B,NFIA,NFIA,ENSG00000162599,0.13479163682977008,0.13479163682977008,1.0842250784311294e-06,1.0,1.0,0.23,0.78,0.95,0.00010242765643753261,True
GATA1,SNCA,SNCA,ENSG00000145335,0.1346911414313512,0.1346911414313512,1.1045583731761516e-06,1.0,1.0,0.53,0.93,0.98,0.00010367678807451689,True
KLF1,HECTD4,HECTD4,ENSG00000173064,0.13445389854976758,0.13445389854976758,1.154024170635915e-06,1.0,1.0,0.61,0.9,0.97,0.0001071749737843037,True
NFE2,H1F0,H1F0,ENSG00000189060,0.13443809288620037,0.13443809288620037,1.1573942635255642e-06,1.0,1.0,0.12,0.83,0.98,0.0001071749737843037,True
GFI1B,RPS2,RPS2,ENSG00000140988,0.13442575266368478,0.13442575266368478,1.1600320261875977e-06,1.0,1.0,0.2,0.73,0.92,0.0001071749737843037,True
NFE2,TADA3,TADA3,ENSG00000171148,0.13438657423502307,0.13438657423502307,1.1684448869026537e-06,1.0,1.0,0.24,0.89,0.98,0.00010736928435529847,True
NFE2,PRR5,PRR5,ENSG00000186654,0.1342859652715215,0.1342859652715215,1.1903183297801014e-06,1.0,1.0,0.19,0.87,0.95,0.00010849532573523163,True
GFI1B,RAF1,RAF1,ENSG00000132155,0.13428458625660958,0.13428458625660958,1.1906208585484953e-06,1.0,1.0,0.29,0.75,0.92,0.00010849532573523163,True
TAL1,CDC27,CDC27,ENSG00000004897,0.13425492295628202,0.13425492295628202,1.1971463215248376e-06,1.0,1.0,0.63,0.94,0.98,0.00010854543399651255,True
GATA1,STRN3,STRN3,ENSG00000196792,0.1342425462783144,0.1342425462783144,1.1998791469518009e-06,1.0,1.0,0.6,0.92,0.99,0.00010854543399651255,True
NFE2,CA8,CA8,ENSG00000178538,0.1342370387221671,0.1342370387221671,1.2010971663080035e-06,1.0,1.0,0.17,0.81,0.95,0.00010854543399651255,True
GFI1B,DAAM1,DAAM1,ENSG00000100592,0.13420326229876806,0.13420326229876806,1.2085929931953206e-06,1.0,1.0,0.26,0.81,0.93,0.00010899764437600684,True
NFE2,SLC22A23,SLC22A23,ENSG00000137266,0.13414543381302393,0.13414543381302393,1.2215310542256094e-06,1.0,1.0,0.14,0.87,0.95,0.00010993779488030485,True
KLF1,SPAG9,SPAG9,ENSG00000008294,-0.13407849457094445,0.13407849457094445,1.2366736903528958e-06,0.0,1.0,0.7,0.97,0.98,0.00011084448200007307,True
NFE2,TMEM131L,TMEM131L,ENSG00000121210,0.13402829434979266,0.13402829434979266,1.2481479016486527e-06,1.0,1.0,0.15,0.87,0.96,0.00011164414973029053,True
KLF1,CDC27,CDC27,ENSG00000004897,0.13399802112179648,0.13399802112179648,1.2551167928068414e-06,1.0,1.0,0.72,0.95,0.99,0.0001118536209890723,True
NFE2,TFR2,TFR2,ENSG00000106327,0.13396892672350036,0.13396892672350036,1.2618495388011638e-06,1.0,1.0,0.14,0.86,0.96,0.00011218150168122543,True
KLF1,FECH,FECH,ENSG00000066926,0.13382153646486142,0.13382153646486142,1.2964938177009635e-06,1.0,1.0,0.64,0.9,0.97,0.00011498344862325941,True
GFI1B,GYPC,GYPC,ENSG00000136732,0.1338003640013945,0.1338003640013945,1.3015448850006232e-06,1.0,1.0,0.16,0.85,0.95,0.00011498344862325941,True
NFE2,CPOX,CPOX,ENSG00000080819,0.13379059503991164,0.13379059503991164,1.3038818133776102e-06,1.0,1.0,0.21,0.86,0.96,0.00011498344862325941,True
NFE2,FAM117A,FAM117A,ENSG00000121104,0.13377192321667628,0.13377192321667628,1.3083597028578938e-06,1.0,1.0,0.19,0.89,0.96,0.00011514618390946533,True
GFI1B,MPC2,MPC2,ENSG00000143158,0.13369212574793402,0.13369212574793402,1.3276638315554154e-06,1.0,1.0,0.26,0.77,0.98,0.00011661047387998768,True
GATA1,HEMGN,HEMGN,ENSG00000136929,0.13356052726718387,0.13356052726718387,1.3600984720560385e-06,1.0,1.0,0.61,0.96,0.99,0.00011921985404354935,True
GATA1,OSBP2,OSBP2,ENSG00000184792,0.13335561649600747,0.13335561649600747,1.4121223249164546e-06,1.0,1.0,0.44,0.82,0.95,0.00012304029978455323,True
KLF1,AC107223.1,AC107223.1,ENSG00000251600,0.13332167679078163,0.13332167679078163,1.4209215838676576e-06,1.0,1.0,0.6,0.96,0.99,0.00012355267412260214,True
NFE2,AP2A1,AP2A1,ENSG00000196961,0.13331118549510823,0.13331118549510823,1.423652212112288e-06,1.0,1.0,0.16,0.87,0.97,0.00012355267412260214,True
GATA1,FECH,FECH,ENSG00000066926,0.13310566809411062,0.13310566809411062,1.478170927738617e-06,1.0,1.0,0.48,0.88,0.98,0.00012777706794325514,True
GATA1,TRIM10,TRIM10,ENSG00000204613,0.1330501012638898,0.1330501012638898,1.4932523854350327e-06,1.0,1.0,0.53,0.89,0.97,0.00012882615254226497,True
GFI1B,RPS7,RPS7,ENSG00000171863,0.1330229952761008,0.1330229952761008,1.5006627701861848e-06,1.0,1.0,0.18,0.73,0.9,0.00012921060938571598,True
GFI1B,RPS15,RPS15,ENSG00000115268,0.13300757587834142,0.13300757587834142,1.504893956001e-06,1.0,1.0,0.24,0.8,0.92,0.00012932035684770873,True
GFI1B,RPS3A,RPS3A,ENSG00000145425,0.1326885383557943,0.1326885383557943,1.5950547193794e-06,1.0,1.0,0.16,0.7,0.92,0.0001352087081892538,True
GFI1B,JAZF1,JAZF1,ENSG00000153814,0.1326511115829094,0.1326511115829094,1.6059653900916921e-06,1.0,1.0,0.23,0.78,0.93,0.00013560796556488536,True
NFE2,HECTD4,HECTD4,ENSG00000173064,0.1325635317211249,0.1325635317211249,1.6317774532204922e-06,1.0,1.0,0.18,0.88,0.95,0.00013665009288599668,True
GATA1,CREBRF,CREBRF,ENSG00000164463,-0.13250349583107487,0.13250349583107487,1.6497011984420366e-06,0.0,1.0,0.51,0.91,0.99,0.0001374587556545531,True
GFI1B,RBBP4,RBBP4,ENSG00000162521,0.13245976058058073,0.13245976058058073,1.6628772215369317e-06,1.0,1.0,0.23,0.74,0.88,0.00013801565402281858,True
GATA1,RHD,RHD,ENSG00000187010,0.13231991197821216,0.13231991197821216,1.705690567673603e-06,1.0,1.0,0.62,0.94,1.0,0.00014006166103593324,True
NFE2,SORBS1,SORBS1,ENSG00000095637,0.13231963452674037,0.13231963452674037,1.7057765493902941e-06,1.0,1.0,0.18,0.82,0.96,0.00014006166103593324,True
GFI1B,FAR1,FAR1,ENSG00000197601,0.1321231298965962,0.1321231298965962,1.7677294759881695e-06,1.0,1.0,0.24,0.7,0.85,0.00014425464044724352,True
TAL1,TSPAN5,TSPAN5,ENSG00000168785,0.1321126789338551,0.1321126789338551,1.7710841766422495e-06,1.0,1.0,0.69,0.92,0.96,0.00014425925863376535,True
TAL1,TMOD1,TMOD1,ENSG00000136842,0.13210002537442048,0.13210002537442048,1.7751540772755726e-06,1.0,1.0,0.57,0.88,0.98,0.0001443220062082408,True
GFI1B,GMPS,GMPS,ENSG00000163655,0.13191500463067304,0.13191500463067304,1.835699357479547e-06,1.0,1.0,0.28,0.76,0.92,0.00014819756859133412,True
