truth,method,AUROC,AUPRC,positive_rate,positives
author_TF_sensitive,residualized_association,0.553206007244145,0.3243970895563766,0.262185642432556,11468
author_TF_sensitive,GRNBoost2,0.442574089080019,0.22898948811039221,0.262185642432556,11468
author_TF_sensitive,consensus,0.5299181930158874,0.2972990963528864,0.262185642432556,11468
author_effect_025,residualized_association,0.5259483593233248,0.04848258603377033,0.041906721536351166,1833
author_effect_025,GRNBoost2,0.4513349780788471,0.035538809422111656,0.041906721536351166,1833
author_effect_025,consensus,0.5233511827185052,0.04666540331240045,0.041906721536351166,1833
