target,guides,effective_guides,median_crossfit_score,minimum_direction_spearman,passes_two_guide_rule
BCL11A,3,2,0.1974695337874053,0.5831819504350756,True
GATA1,3,1,0.047245519470899555,0.3451904960978755,False
GATA2,3,1,0.05398507539446889,0.680969526713881,False
GFI1B,3,1,0.05627094187469131,0.5947285944011492,False
KLF1,3,3,0.2724662528883508,0.5727285816382595,True
NFE2,3,3,0.6674939592426389,0.7493720920319379,True
SPI1,3,1,0.03855728394890447,0.6209451046571032,False
TAL1,3,0,0.03795681312585089,0.5739969145381136,False
