target,guide,n_cells,crossfit_median_score,bootstrap_null_q95,bootstrap_p_value,direction_spearman,signature_genes,bootstrap_fdr,effective_guide
BCL11A,BCL11A_686,216,0.1974695337874053,0.10269665752803005,0.005994005994005994,0.5831819504350756,AC124947.1;PTMA;TRIM33;UPF2;GCC2;ANKRD17;LUC7L2;ZC3HAV1;TOR1AIP2;NEDD4L;IGF1R;RNF10;KIAA0232;TRAPPC10;RGS6;KMT2C;CNOT4;JAK1;KLHL24;CLTA;AC068587.4;BLVRB;BCAS3;DDI2;PRDX5;CREG1;CEP350;MLXIP;FOXO3;RTN3;KLF3;RPS6;RPA1;RAB2A;CPEB4;GALNT5;TMSB4X;TASOR2;CHMP2A;PLEK2;RPLP0;RPL39;NDEL1;RPLP1;CFLAR;NFIA;ZNF451;C9orf78;PCM1;NCOA1;RAB3GAP1;LARP1;EIF3A;PCGF5;DIPK2A;HNRNPC;AC107223.1;MED28;TBC1D15;HAGH;TNRC6B;ISCU;PRDX1;PABPC1;USP34;EAPP;HBD;TBPL1;JMJD1C;MEF2A;PRDX6;PRDX2;RPL13;GAPVD1;FHDC1;CHPT1;MOB1B;IL6ST;RPL10;AC105402.3;RPS27L;FOXP1;TCEA1;TSTA3;BPTF;MARCH3;ASAP1;N4BP2L2;SPAG9;NR3C1;FAM13A;ZEB2;TMBIM6;HBB;HBG1;IQGAP2;RPL9;ANKRD12;GDF15;HBG2,0.013077831259649442,True
BCL11A,BCL11A_752,241,0.23010215224878444,0.09587051131546598,0.000999000999000999,0.5931388184840832,RPL12;TSG101;RPLP0;SESN1;RPS23;ZNF451-AS1;GALNT2;GAB1;ATF6;OSBP2;RPS9;CYTOR;CCT4;MED28;ANAPC16;SAP18;PTMA;TBC1D15;FAM13A;TRAK2;RPL13A;ANKRD17;KDM4C;TBPL1;CALM2;MBNL2;CNOT4;BCAP29;RSRP1;RPL36;HBD;CREBBP;HNRNPUL1;CFLAR;YWHAZ;KLF3;MAP4K4;HERPUD2;RPS21;IGF1R;HNRNPA1;MLXIP;RPS6;NFIA;CTBP2;GALNT5;HIST1H3B;AC105402.3;CREG1;HNRNPC;FUBP1;TMSB4X;NR3C1;TASOR2;KLF13;CNNM2;HSPA5;FOXO3;ISG20;RPL10;RASA1;MOB1B;CCDC71L;AC068587.4;EEF1G;PCGF5;RPS27L;VCL;SPAG9;TOR1AIP2;KLHL24;CHMP2A;USP34;IL6ST;JMJD1C;HSP90AB1;MBNL1;MEF2A;PRDX2;LARP1;HBB;RAB3GAP1;ZEB2;BPTF;PRDX6;FHDC1;IQGAP2;RPLP1;XPO7;RGS6;MARCH3;HBG1;RPL13;TCEA1;N4BP2L2;TMBIM6;RPL9;ANKRD12;HBG2;GDF15,0.0034251462822891396,True
TAL1,TAL1_523,212,0.05060675930210143,0.04678835717292728,0.04195804195804196,0.5739969145381136,ANKRD9;PDIA3;AP1G1;RPL14;HSPA9;PPP2R5E;SIK3;GALNT2;RPS13;SLC25A37;ZNHIT1;HSP90AA1;RNF24;ESR2;BLVRB;NR3C1;TMEM131;MAP1LC3B;BPTF;TOP1;AC068587.4;KLF6;EIF3D;PCM1;SELENBP1;KMT2C;PTMA;GALNT5;IL6ST;STAT5B;MOB1B;SET;DAPK1;ARL4A;FAU;TAB2;RPS17;UBE2I;ATP2B1;IGF2BP2;BPGM;ISCU;EPB42;KLF13;RPS19;FAM13A;JAZF1;EDEM3;EIF4A1;CREBBP;AAK1;ATF6;PAFAH1B1;NEDD4L;TESC;FOXP1;CCDC71L;GPX4;AP2S1;TMSB4X;RPL6;ADIPOR2;UPF2;DDI2;ASCC3;RPS27L;RPL39;CNOT4;TOR1AIP2;EIF3A;EIF4A2;RPS21;CAT;ZC3HAV1;CPLANE1;ZFAND5;JMJD1C;WAC;RHCE;RPL13;TCEA1;SLC4A1;PAN3;RPLP1;RPL10;CSTB;GDF15;MEF2A;HNRNPC;FBXO7;GAB1;RPL9;PRDX6;VCL;SPAG9;TBC1D15;ANKRD12;RTN3;TMBIM6;HSPA5,0.07706579135150562,False
TAL1,TAL1_536,280,0.006704586385538177,0.06847655326718767,0.1968031968031968,0.6054088660891079,ZC3HAV1;ANKRD9;RPS19;RPL15;KMT2E;LARP7;SELENBP1;GAPVD1;HMGB2;GRB10;WAC;PIKFYVE;TESC;FTL;MBNL2;YBX3;EIF3A;CDC73;PTMA;TMEM165;TTC17;KLC1;PBRM1;KLF13;NCOA4;NLK;SMCHD1;COPE;NR3C1;KLHL24;RPL14;RFX3-AS1;ESR2;RPS13;RNF24;CCDC71L;ATP2B1;GPX4;AAK1;ERMAP;PRDX2;RTN4;GALNT5;AP1G1;EIF4A1;GAB1;STAT5B;TOR1AIP2;CNOT4;EPB42;AC068587.4;FTH1;FBXW7;DDI2;EIF4A2;PTGES3;SLC25A37;CR1L;TAB2;FXR1;NEDD4L;RPL9;ADIPOR2;TMSB4X;PRDX6;RPS21;CREBBP;UPF2;JAZF1;JMJD1C;HAGH;RPL39;N4BP2L2;ALAS2;SLC4A1;TOP1;RPS27L;VPS50;RPL13;FAU;FBXO7;AP2S1;CPLANE1;FAM13A;ZFAND5;VCL;HNRNPC;RPLP1;RHCE;RPL10;RTN3;MEF2A;ANKRD12;SPAG9;CAT;GDF15;TCEA1;TMBIM6;TBC1D15;HSPA5,0.2624042624042624,False
TAL1,TAL1_556,308,0.03795681312585089,0.10426146005229357,0.27372627372627373,0.5984755979314085,HSPD1;KLF13;LCORL;BCAS3;KMT2E;C11orf58;TRANK1;MAP4K4;RACK1;UBE2I;KLC1;ANAPC16;C1D;HBP1;ASAP1;ATP2B1;EIF4A1;HIST2H2AC;MBNL2;NDUFB9;ISCU;ZC3HAV1;RNF10;BCAP29;NCOR1;CCNDBP1;ESR2;ZNHIT1;CCDC71L;NEDD4L;ZC3H15;RPL39;CNOT4;C9orf78;NRDC;MARCH8;AC105402.3;ZCCHC7;FTL;EID1;OSBPL8;FTH1;TBPL1;ISG20;COX7A2L;ATP6V0C;RNF24;HELZ;SPOP;ATF6;NLK;PNISR;FXR1;YTHDC1;IGF1R;FAU;RPL9;PTGES3;RPS21;GAPVD1;KLHL24;EIF4A2;SELENBP1;IGF2BP2;RPLP1;DAPK1;FAM13A;PAFAH1B1;CPLANE1;EIF3A;JMJD1C;MOB1B;NR3C1;CREBBP;DDI2;PAN3;GAB1;RHCE;HNRNPC;RPL10;KMT2C;PCGF5;RTN3;VCL;XPO7;WAC;ANKRD12;N4BP2L2;MEF2A;ZFAND5;RPL13;PRDX6;IL6ST;HSPA5;TCEA1;SPAG9;FHDC1;TMSB4X;TBC1D15;TMBIM6,0.32847152847152844,False
KLF1,KLF1_347,664,0.2724662528883508,0.043125017120919436,0.000999000999000999,0.7373936037300114,HBG1;JAZF1;EP300;GALNT2;PDCD4;SELENBP1;NUP88;CREBBP;HBA2;RAB11A;RLF;N4BP2L2;MAP2K2;MLXIP;GAPVD1;ASAP1;YTHDC1;HSP90AB1;C9orf78;DAPK1;BCAP29;EIF3A;RNF115;HAGH;AC105402.3;CFLAR;COX5B;RPL39;SPAG9;ZCCHC7;MARCH6;ARID4A;PSMD1;PI4K2A;EIF4A2;HBP1;RPLP1;FAU;GNAQ;STAM;PCGF5;MED13;RFX3-AS1;HLA-A;RPL13A;HBG2;LPIN2;CREG1;ZNF217;FOXP1;NFIA;NUDT4;SLMAP;CHST11;HNRNPC;KMT2C;CCDC71L;MARCH3;TCEA1;RBM39;KTN1;HSPA5;ZEB2;DDI2;HBB;MAP3K5;NR3C1;ZFP91;FTL;RHCE;GAB1;ZFAND5;RPL13;RNF10;PIP4K2A;HSP90AA1;PRDX2;XPO7;AGO2;PABPC1;CNOT4;JMJD1C;PRPF4B;PRDX6;KLHDC8B;MOB1B;MBNL2;TSTA3;IL6ST;GRB10;WAC;RPL9;TBC1D15;VCL;ANKRD12;RPL10;TMBIM6;TMSB4X;IQGAP2;UIMC1,0.0034251462822891396,True
KLF1,KLF1_395,559,0.11068025632265177,0.007873480874161471,0.001998001998001998,0.7204867544290486,HSP90AB1;ZNF638;BACH1;PRDX5;NDEL1;GALNT5;TMEM242;ST13;ZFAND5;CREB1;CDC73;NRDC;SET;CHPT1;TNXB;SPAG9;CIRBP;ARL6IP4;STOM;AC105402.3;PUM2;FXR1;HNRNPC;ARF4;PCGF5;MAP4K4;ANKRD9;TBC1D23;SHLD1;AAK1;GCC2;EPB42;NARS;EP300;SQSTM1;CREG1;PACSIN2;PI4K2A;FOXP1;UBAP1;MEF2A;TMSB4X;GAB1;ASAP1;FHDC1;SLC30A1;EIF4A2;RPL13;FAM13A;CYTOR;WAC;CNOT4;RCL1;KMT2C;TCEA1;MGST3;UIMC1;REXO2;RBM39;ASAH1;HAGH;ESPN;FAU;PAN3;CCDC71L;XPO7;NUDT4;GPCPD1;GAPVD1;DAPK1;MBNL1;GRB10;SELENBP1;JAZF1;RFX3-AS1;FTL;TOR1AIP2;RPL9;RHCE;CHST11;RPL10;ZEB2;ANKRD12;TSTA3;TBC1D15;IGF1R;KLHDC8B;HBB;DDI2;MOB1B;NR3C1;VCL;HBG1;NFIA;GNAQ;TMBIM6;IQGAP2;PIP4K2A;HBG2;PRDX2,0.004795204795204795,True
KLF1,KLF1_636,132,0.7847414276734077,0.14844229636758455,0.000999000999000999,0.5727285816382595,MGST3;PABPC1;TBPL1;N4BP2L2;GAPVD1;MBNL1;RFX3-AS1;RPLP0;RBM39;PDCD4;HNRNPA3;PHC3;RPS5;KLHL24;HBG1;AGO2;GPCPD1;BPTF;HAGH;CREBBP;ARF4;FAM13A;NUDT4;REXO2;RPL13A;C9orf78;C11orf58;EIF4A2;YBX3;MEF2A;CCDC71L;ZNF217;FHDC1;EP300;HNRNPC;BCAP29;RPL15;TOR1AIP2;ZFP91;HSPA5;CIRBP;IGF1R;FAU;DAPK1;NCOR1;FXR1;ASAP1;PAN3;PRPF4B;JAZF1;MED13;ANKRD9;RPLP1;ASAH1;ZFAND5;PI4K2A;ARL6IP4;ZEB2;IL6ST;CREG1;MAP4K4;RPL13;GAB1;FTL;TBC1D23;MOB1B;AC105402.3;KMT2C;SPAG9;XPO7;WAC;SELENBP1;PRDX6;JMJD1C;PCGF5;TBC1D15;GRB10;CNOT4;CHST11;TCEA1;FOXP1;HBG2;KLHDC8B;PIP4K2A;RHCE;GNAQ;HBB;UIMC1;NR3C1;TSTA3;DDI2;RPL10;RPL9;NFIA;TMSB4X;ANKRD12;PRDX2;IQGAP2;TMBIM6;VCL,0.0034251462822891396,True
GATA2,GATA2_176,356,0.03148875001537562,0.12819288991956135,0.4985014985014985,0.6923617614485683,RPS2;CREBBP;GALNT2;GDF15;PHC3;ADIPOR2;HSPA5;YTHDC1;HNRNPAB;GRB10;EIF4A1;VPS13A;RPL39;RPS8;KMT2E;EEF2;RBM39;UPF2;RPS12;RASA1;WAC;PURPL;KLF13;RNF24;C11orf58;FAM210B;COX7A2L;GAB1;RPS5;USP24;RPS20;PRDX6;RPL37;RPS16;TOR1AIP2;SELENBP1;RPL36;ZEB2;KLHL24;NARS;FTX;BPTF;IQGAP2;HNRNPC;PRDX2;RPL13A;RPS27;HNRNPA1;RPS19;TSTA3;EIF3A;B2M;HBB;CNOT4;MAP4K4;MEF2A;PRPF4B;ISG20;XPO7;FAU;ZFAND5;HAGH;NACA;TBC1D15;ASCC3;RPL18A;PTMA;NR3C1;SPAG9;RPL14;VPS50;AC105402.3;C9orf78;REXO2;NAP1L1;KMT2C;FHDC1;ZC3HAV1;HIST1H3B;VCL;RPS21;RPLP0;RPS24;RPL9;RNF10;PCGF5;MOB1B;RPL15;N4BP2L2;PABPC1;TCEA1;IL6ST;TMSB4X;DDI2;ANKRD12;RPL10;TMBIM6;RPLP1;RPL13;JMJD1C,0.49850149850149855,False
GATA2,GATA2_562,301,0.24208160295372486,0.13247113296220386,0.000999000999000999,0.680969526713881,FAM13A;CHMP2A;RPS6;VPS13A;MBNL1;RPS27;BBX;ZCCHC7;WAC;JAZF1;EEF2;HNRNPC;LPIN2;IQGAP2;UIMC1;RPS5;SLC3A2;BPTF;CNOT4;ADIPOR2;CR1L;HBM;ESR2;NAP1L1;FTX;GCLM;C11orf58;RNF24;TBPL1;MAP4K4;PURPL;PRDX2;VPS50;B2M;RPS19;PRPF4B;COX7A2L;RPL13A;TOR1AIP2;KLHL24;ZEB2;GDF15;TSTA3;PIKFYVE;NACA;HBB;RPL12;UPF2;KMT2E;RGS6;SCFD1;RPL37;PTK2B;RPL36;SELENBP1;RPL39;EIF3A;RPL14;GAPVD1;KMT2C;MEF2A;PRDX6;FAU;C9orf78;ZFAND5;VCL;XPO7;HAGH;ZC3HAV1;RPL18A;RPS24;ISG20;AC105402.3;IL6ST;KLF13;HIST1H3B;NR3C1;TBC1D15;REXO2;FHDC1;ASCC3;RPL15;SPAG9;RNF10;RPLP0;RPL9;PCGF5;TMSB4X;RPS21;N4BP2L2;TCEA1;MOB1B;RPLP1;PABPC1;ANKRD12;DDI2;RPL10;TMBIM6;RPL13;JMJD1C,0.0034251462822891396,True
