outcome,model,AUPRC_mean,AUPRC_min,AUPRC_max,AUROC_mean,AUROC_min,AUROC_max,AUPRC_delta_from_baseline,AUROC_delta_from_baseline
author_effect_025,baseline,0.3416909596498797,0.32586062125945336,0.35228652122199966,0.834120213963964,0.8231418918918919,0.8448479729729731,0.0,0.0
author_effect_025,extended_all,0.40020491038443246,0.36346860671065206,0.42866124335938005,0.8340892454954956,0.8193975225225225,0.847606981981982,0.05851395073455273,-3.0968468468395294e-05
author_effect_025,plus_prior_fisher_z_sd,0.3796541358641457,0.36099662659142134,0.3971575751482651,0.8301829954954956,0.8230011261261261,0.8402027027027027,0.03796317621426598,-0.003937218468468395
author_effect_025,plus_prior_median_rank_score,0.34864395520977337,0.3344935281202584,0.3712035748896142,0.837290259009009,0.8166948198198197,0.8528997747747747,0.006952995559893649,0.0031700450450450335
author_effect_025,plus_prior_sign_concordance_fraction,0.36997861458408743,0.34452686275569383,0.38336928669255205,0.8399366554054055,0.8277871621621622,0.85053490990991,0.028287654934207707,0.0058164414414415555
author_supported_concordant,baseline,0.3244776436259539,0.29508683374633204,0.3653172408657528,0.8942082525839794,0.883155684754522,0.905967377260982,0.0,0.0
author_supported_concordant,extended_all,0.47303569376826227,0.4442552970121194,0.5132660703074973,0.893388646640827,0.8831960594315247,0.9048368863049095,0.14855805014230838,-0.0008196059431524461
author_supported_concordant,plus_prior_fisher_z_sd,0.3532843709738035,0.3066960567028246,0.397074293057699,0.886310965762274,0.8710836563307495,0.8973675710594315,0.028806727347849614,-0.00789728682170543
author_supported_concordant,plus_prior_median_rank_score,0.3882851565393209,0.35213014548626753,0.4214036789216083,0.8986050549095607,0.8909883720930233,0.9063307493540053,0.063807512913367,0.004396802325581262
author_supported_concordant,plus_prior_sign_concordance_fraction,0.41473182116742685,0.3948850942067386,0.44584364987716263,0.90999878875969,0.9009609173126615,0.9172319121447029,0.09025417754147297,0.01579053617571058
