TF,target,target_symbol,target_gene_id,signed_association_day14_frozen,absolute_association_day14_frozen,frozen_day14_E0,signed_association_day7,absolute_association_day7,rank_fraction_day7,bootstrap_top5_frequency_day7,bootstrap_sign_consistency_day7,E0_timepoint_day7,power_matched_bootstrap_top5_frequency_day7,power_matched_bootstrap_sign_consistency_day7,E0_timepoint_power_matched_day7,state_unadjusted_signed_association_day7,state_unadjusted_absolute_association_day7,state_unadjusted_rank_fraction_day7,state_unadjusted_bootstrap_top5_frequency_day7,state_unadjusted_bootstrap_sign_consistency_day7,state_unadjusted_E0_timepoint_day7,signed_association_day9,absolute_association_day9,rank_fraction_day9,bootstrap_top5_frequency_day9,bootstrap_sign_consistency_day9,E0_timepoint_day9,power_matched_bootstrap_top5_frequency_day9,power_matched_bootstrap_sign_consistency_day9,E0_timepoint_power_matched_day9,state_unadjusted_signed_association_day9,state_unadjusted_absolute_association_day9,state_unadjusted_rank_fraction_day9,state_unadjusted_bootstrap_top5_frequency_day9,state_unadjusted_bootstrap_sign_consistency_day9,state_unadjusted_E0_timepoint_day9,signed_association_day11,absolute_association_day11,rank_fraction_day11,bootstrap_top5_frequency_day11,bootstrap_sign_consistency_day11,E0_timepoint_day11,power_matched_bootstrap_top5_frequency_day11,power_matched_bootstrap_sign_consistency_day11,E0_timepoint_power_matched_day11,state_unadjusted_signed_association_day11,state_unadjusted_absolute_association_day11,state_unadjusted_rank_fraction_day11,state_unadjusted_bootstrap_top5_frequency_day11,state_unadjusted_bootstrap_sign_consistency_day11,state_unadjusted_E0_timepoint_day11,signed_association_day14,absolute_association_day14,rank_fraction_day14,bootstrap_top5_frequency_day14,bootstrap_sign_consistency_day14,E0_timepoint_day14,power_matched_bootstrap_top5_frequency_day14,power_matched_bootstrap_sign_consistency_day14,E0_timepoint_power_matched_day14,state_unadjusted_signed_association_day14,state_unadjusted_absolute_association_day14,state_unadjusted_rank_fraction_day14,state_unadjusted_bootstrap_top5_frequency_day14,state_unadjusted_bootstrap_sign_consistency_day14,state_unadjusted_E0_timepoint_day14,discovery_pattern,power_matched_discovery_pattern,discovery_class,any_preterminal_E0,preterminal_E0_omitted_by_day14,power_matched_preterminal_E0,power_robust_preterminal_omission,state_unadjusted_preterminal_E0,state_unadjusted_preterminal_omission,state_unadjusted_only_preterminal_omission
NFE2,TFRC,TFRC,ENSG00000072274,0.2916369879993539,0.2916369879993539,True,0.010334319159313118,0.010334319159313118,0.7678693922348745,0.0,0.63,False,0.03,0.6,False,0.018072984024130097,0.018072984024130097,0.6026889833996433,0.01,0.75,False,0.04456880145276483,0.04456880145276483,0.13292181069958847,0.12,0.99,False,0.08,0.94,False,0.04179400127927539,0.04179400127927539,0.2282578875171468,0.01,0.99,False,0.01033271060122598,0.01033271060122598,0.8116598079561043,0.0,0.69,False,0.0,0.64,False,0.04468198677896007,0.04468198677896007,0.4962962962962963,0.0,0.86,False,0.291636987999354,0.291636987999354,0.00013717421124828533,1.0,1.0,True,1.0,1.0,True,0.2922152826343774,0.2922152826343774,0.00013717421124828533,1.0,1.0,True,0001,0001,day14_only_discovery,False,False,False,False,False,False,False
NFE2,JAZF1,JAZF1,ENSG00000153814,0.2846781282997505,0.2846781282997505,True,0.0719500200668859,0.0719500200668859,0.04362738372890657,0.25,1.0,False,0.22,0.97,False,0.07869711871068753,0.07869711871068753,0.027164220057621074,0.3,1.0,False,0.15693805122590967,0.15693805122590967,0.00041152263374485596,1.0,1.0,True,1.0,1.0,True,0.1922802084929269,0.1922802084929269,0.00027434842249657066,1.0,1.0,True,0.13493592359919176,0.13493592359919176,0.009876543209876543,0.83,1.0,True,0.72,1.0,True,0.23452954656024852,0.23452954656024852,0.0027434842249657062,1.0,1.0,True,0.28467812829975075,0.28467812829975075,0.00027434842249657066,1.0,1.0,True,1.0,1.0,True,0.28238052041369177,0.28238052041369177,0.00027434842249657066,1.0,1.0,True,0111,0111,cross_time_discovery,True,False,True,False,True,False,False
BCL11A,NBAS,NBAS,ENSG00000151779,0.2794287451968341,0.2794287451968341,True,0.1567858244866911,0.1567858244866911,0.012072986692276032,0.89,1.0,True,0.81,1.0,True,0.19141377593476844,0.19141377593476844,0.012758951845246261,0.99,1.0,True,0.2500425205058526,0.2500425205058526,0.00041152263374485596,1.0,1.0,True,1.0,1.0,True,0.28306929002986053,0.28306929002986053,0.0015089163237311386,1.0,1.0,True,0.29478801380041064,0.29478801380041064,0.00041152263374485596,1.0,1.0,True,1.0,1.0,True,0.35318975063529245,0.35318975063529245,0.0009602194787379973,1.0,1.0,True,0.2794287451968339,0.2794287451968339,0.00013717421124828533,1.0,1.0,True,1.0,1.0,True,0.35008548866319816,0.35008548866319816,0.0009602194787379973,1.0,1.0,True,1111,1111,persistent_discovery,True,False,True,False,True,False,False
NFE2,SPTA1,SPTA1,ENSG00000163554,0.278504705579314,0.278504705579314,True,0.05493286353169582,0.05493286353169582,0.11798600631087941,0.13,0.94,False,0.06,0.86,False,0.06382417011948636,0.06382417011948636,0.06804774317464672,0.19,0.97,False,0.036485726191576154,0.036485726191576154,0.21330589849108367,0.05,0.96,False,0.07,0.87,False,0.07480704314924447,0.07480704314924447,0.04801097393689986,0.21,1.0,False,0.12851012203902007,0.12851012203902007,0.012345679012345678,0.73,1.0,True,0.68,1.0,False,0.2242075092951814,0.2242075092951814,0.003978052126200274,1.0,1.0,True,0.278504705579314,0.278504705579314,0.00041152263374485596,1.0,1.0,True,1.0,1.0,True,0.27963505242136494,0.27963505242136494,0.00041152263374485596,1.0,1.0,True,0011,0001,cross_time_discovery,True,False,False,False,True,False,False
BCL11A,SLC25A21,SLC25A21,ENSG00000183032,0.2784422799973499,0.2784422799973499,True,0.2066881919474207,0.2066881919474207,0.003018246673069008,1.0,1.0,True,1.0,1.0,True,0.25686060162908225,0.25686060162908225,0.002195088489504733,1.0,1.0,True,0.2367983312405539,0.2367983312405539,0.0006858710562414266,1.0,1.0,True,1.0,1.0,True,0.29947867317054677,0.29947867317054677,0.0010973936899862826,1.0,1.0,True,0.27401898674957087,0.27401898674957087,0.0006858710562414266,1.0,1.0,True,1.0,1.0,True,0.3562942536378095,0.3562942536378095,0.0008230452674897119,1.0,1.0,True,0.2784422799973499,0.2784422799973499,0.00027434842249657066,1.0,1.0,True,1.0,1.0,True,0.3829900915432652,0.3829900915432652,0.00013717421124828533,1.0,1.0,True,1111,1111,persistent_discovery,True,False,True,False,True,False,False
NFE2,SLC4A1,SLC4A1,ENSG00000004939,0.269440433186355,0.269440433186355,True,0.15207636381428502,0.15207636381428502,0.00013719303059404582,1.0,1.0,True,0.99,1.0,True,0.1479382483211615,0.1479382483211615,0.00027438606118809165,0.98,1.0,True,0.11385372744853446,0.11385372744853446,0.0016460905349794238,0.97,1.0,True,0.71,1.0,True,0.16777090440163953,0.16777090440163953,0.0008230452674897119,1.0,1.0,True,0.20302982522590649,0.20302982522590649,0.00041152263374485596,1.0,1.0,True,1.0,1.0,True,0.2859575011394046,0.2859575011394046,0.0005486968449931413,1.0,1.0,True,0.269440433186355,0.269440433186355,0.0005486968449931413,1.0,1.0,True,1.0,1.0,True,0.27090198240791685,0.27090198240791685,0.0005486968449931413,1.0,1.0,True,1111,1111,persistent_discovery,True,False,True,False,True,False,False
BCL11A,JAZF1,JAZF1,ENSG00000153814,0.2654205053550973,0.2654205053550973,True,0.1753487338606901,0.1753487338606901,0.007134037590890383,0.99,1.0,True,0.97,1.0,True,0.2128581646203663,0.2128581646203663,0.006859651529702291,1.0,1.0,True,0.2257005167672534,0.2257005167672534,0.0008230452674897119,1.0,1.0,True,1.0,1.0,True,0.3136787804870293,0.3136787804870293,0.0008230452674897119,1.0,1.0,True,0.31512433132046747,0.31512433132046747,0.00027434842249657066,1.0,1.0,True,1.0,1.0,True,0.4049844186619766,0.4049844186619766,0.00027434842249657066,1.0,1.0,True,0.26542050535509726,0.26542050535509726,0.00041152263374485596,1.0,1.0,True,1.0,1.0,True,0.32833727007088753,0.32833727007088753,0.0021947873799725653,1.0,1.0,True,1111,1111,persistent_discovery,True,False,True,False,True,False,False
NFE2,GYPA,GYPA,ENSG00000170180,0.2627731958488137,0.2627731958488137,True,0.0035473236871057974,0.0035473236871057974,0.9208396213472355,0.0,0.54,False,0.0,0.63,False,0.007853984791503952,0.007853984791503952,0.8175332693099191,0.0,0.63,False,0.0760635808493515,0.0760635808493515,0.01879286694101509,0.54,1.0,False,0.41,0.99,False,0.12667932760038628,0.12667932760038628,0.004663923182441701,0.96,1.0,True,0.1425695320001669,0.1425695320001669,0.006172839506172839,0.85,1.0,True,0.86,1.0,True,0.22887815924214858,0.22887815924214858,0.003703703703703704,1.0,1.0,True,0.26277319584881376,0.26277319584881376,0.0006858710562414266,1.0,1.0,True,1.0,1.0,True,0.260082392165267,0.260082392165267,0.0006858710562414266,1.0,1.0,True,0011,0011,cross_time_discovery,True,False,True,False,True,False,False
BCL11A,CD36,CD36,ENSG00000135218,0.2605329241670866,0.2605329241670866,True,0.10666268511810521,0.10666268511810521,0.05405405405405406,0.31,1.0,False,0.26,1.0,False,0.1580913919410414,0.1580913919410414,0.02400878035395802,0.87,1.0,True,0.13861404460667934,0.13861404460667934,0.02400548696844993,0.86,1.0,True,0.71,1.0,True,0.21882735482588261,0.21882735482588261,0.007818930041152264,1.0,1.0,True,0.2127479851668809,0.2127479851668809,0.005349794238683128,1.0,1.0,True,1.0,1.0,True,0.3075996866811427,0.3075996866811427,0.00411522633744856,1.0,1.0,True,0.2605329241670866,0.2605329241670866,0.0005486968449931413,1.0,1.0,True,1.0,1.0,True,0.35155106872464137,0.35155106872464137,0.0008230452674897119,1.0,1.0,True,0111,0111,cross_time_discovery,True,False,True,False,True,False,False
NFE2,SLC25A37,SLC25A37,ENSG00000147454,0.2580003527172455,0.2580003527172455,True,0.14470137851017567,0.14470137851017567,0.0005487721223761833,0.93,1.0,True,0.8,1.0,True,0.14540070667812985,0.14540070667812985,0.0005487721223761833,0.97,1.0,True,0.16699318625018933,0.16699318625018933,0.00013717421124828533,1.0,1.0,True,1.0,1.0,True,0.19907629454393677,0.19907629454393677,0.00013717421124828533,1.0,1.0,True,0.2027532076147117,0.2027532076147117,0.0005486968449931413,1.0,1.0,True,1.0,1.0,True,0.29500076041161255,0.29500076041161255,0.00041152263374485596,1.0,1.0,True,0.25800035271724564,0.25800035271724564,0.0008230452674897119,1.0,1.0,True,1.0,1.0,True,0.24627192423712665,0.24627192423712665,0.0012345679012345679,1.0,1.0,True,1111,1111,persistent_discovery,True,False,True,False,True,False,False
